City,population
Paris,11020000.0
London,10979000.0
Madrid,6026000.0
Barcelona,4588000.0
Berlin,3644826.0
Rome,2872800.0
Vienna,1911191.0
Hamburg,1841179.0
Warsaw,1790658.0
Brussels,1743000.0
Budapest,1752286.0
Munich,1471508.0
Milan,1366180.0
Prague,1335084.0
Dublin,1173179.0
Stockholm,972647.0
Amsterdam,862965.0
Oslo,693494.0
Athens,664046.0
Helsinki,642045.0
Copenhagen,602481.0
Lisbon,506654.0
Bratislava,429564.0
Ljubljana,286745.0
Luxembourg,124509.0
Krakow,766739.0
Lyon,516092.0
Edinburgh,488050.0
Zurich,434008.0
Porto,237591.0
Geneva,201818.0
